system,label,step,restricted_error_mha
n2_ccpvdz,N$_2$/cc-pVDZ,2920,51.000463603699586
n2_ccpvdz,N$_2$/cc-pVDZ,2930,51.405649691488975
n2_ccpvdz,N$_2$/cc-pVDZ,2940,51.62028833727561
n2_ccpvdz,N$_2$/cc-pVDZ,2950,51.32656005281433
n2_ccpvdz,N$_2$/cc-pVDZ,2960,51.67494849564491
n2_ccpvdz,N$_2$/cc-pVDZ,2970,50.9620735100782
n2_ccpvdz,N$_2$/cc-pVDZ,2980,52.25494264227848
n2_ccpvdz,N$_2$/cc-pVDZ,2990,50.840942907683484
n2_ccpvdz,N$_2$/cc-pVDZ,3000,51.84660375425665
n2_ccpvdz,N$_2$/cc-pVDZ,3010,51.75184812917166
n2_ccpvdz,N$_2$/cc-pVDZ,3020,51.072381397347044
n2_ccpvdz,N$_2$/cc-pVDZ,3030,50.656010287212894
n2_ccpvdz,N$_2$/cc-pVDZ,3040,51.96070646925932
n2_ccpvdz,N$_2$/cc-pVDZ,3050,51.38522579764526
n2_ccpvdz,N$_2$/cc-pVDZ,3060,51.92403534412904
n2_ccpvdz,N$_2$/cc-pVDZ,3070,51.10452675839383
n2_ccpvdz,N$_2$/cc-pVDZ,3080,50.596321303459035
n2_ccpvdz,N$_2$/cc-pVDZ,3090,50.57653184981348
n2_ccpvdz,N$_2$/cc-pVDZ,3100,50.51590356906388
n2_ccpvdz,N$_2$/cc-pVDZ,3110,51.53947336879128
n2_ccpvdz,N$_2$/cc-pVDZ,3120,51.47602655938499
n2_ccpvdz,N$_2$/cc-pVDZ,3130,51.36923572331398
n2_ccpvdz,N$_2$/cc-pVDZ,3140,50.75540239960219
n2_ccpvdz,N$_2$/cc-pVDZ,3150,51.9865527472092
n2_ccpvdz,N$_2$/cc-pVDZ,3160,50.755114225552234
n2_ccpvdz,N$_2$/cc-pVDZ,3170,50.612319875810385
n2_ccpvdz,N$_2$/cc-pVDZ,3180,52.03912715094816
n2_ccpvdz,N$_2$/cc-pVDZ,3190,51.248433053388
n2_ccpvdz,N$_2$/cc-pVDZ,3200,50.62702721755841
n2_ccpvdz,N$_2$/cc-pVDZ,3210,50.62809557669823
n2_ccpvdz,N$_2$/cc-pVDZ,3220,51.465040862510136
n2_ccpvdz,N$_2$/cc-pVDZ,3230,50.996935545825295
n2_ccpvdz,N$_2$/cc-pVDZ,3240,50.43051320109271
n2_ccpvdz,N$_2$/cc-pVDZ,3250,51.15529660754703
n2_ccpvdz,N$_2$/cc-pVDZ,3260,50.358588829595874
n2_ccpvdz,N$_2$/cc-pVDZ,3270,50.23226441807083
n2_ccpvdz,N$_2$/cc-pVDZ,3280,52.46710850921943
n2_ccpvdz,N$_2$/cc-pVDZ,3290,50.66985082289932
n2_ccpvdz,N$_2$/cc-pVDZ,3300,51.71011942333337
n2_ccpvdz,N$_2$/cc-pVDZ,3310,51.527080254544444
n2_ccpvdz,N$_2$/cc-pVDZ,3320,50.52495281385916
n2_ccpvdz,N$_2$/cc-pVDZ,3330,50.58259060214709
n2_ccpvdz,N$_2$/cc-pVDZ,3340,51.02010213913388
n2_ccpvdz,N$_2$/cc-pVDZ,3350,50.46249053606289
n2_ccpvdz,N$_2$/cc-pVDZ,3360,49.949610190537896
n2_ccpvdz,N$_2$/cc-pVDZ,3370,49.82378779446606
n2_ccpvdz,N$_2$/cc-pVDZ,3380,50.454333677791396
n2_ccpvdz,N$_2$/cc-pVDZ,3390,53.55460599108142
n2_ccpvdz,N$_2$/cc-pVDZ,3400,51.77752407321634
n2_ccpvdz,N$_2$/cc-pVDZ,3410,51.44043265643461
n2_ccpvdz,N$_2$/cc-pVDZ,3420,50.195807205355436
n2_ccpvdz,N$_2$/cc-pVDZ,3430,50.674376539248556
n2_ccpvdz,N$_2$/cc-pVDZ,3440,49.86444321804129
n2_ccpvdz,N$_2$/cc-pVDZ,3450,52.45588155239034
n2_ccpvdz,N$_2$/cc-pVDZ,3460,49.979096662525535
n2_ccpvdz,N$_2$/cc-pVDZ,3470,49.9111892550701
n2_ccpvdz,N$_2$/cc-pVDZ,3480,49.647687952770525
n2_ccpvdz,N$_2$/cc-pVDZ,3490,50.72626824050985
n2_ccpvdz,N$_2$/cc-pVDZ,3500,50.85506345474755
n2_ccpvdz,N$_2$/cc-pVDZ,3510,49.995711667889964
n2_ccpvdz,N$_2$/cc-pVDZ,3520,50.101496150730895
n2_ccpvdz,N$_2$/cc-pVDZ,3530,51.76019440933999
n2_ccpvdz,N$_2$/cc-pVDZ,3540,49.8735219633204
n2_ccpvdz,N$_2$/cc-pVDZ,3550,49.75507884553565
n2_ccpvdz,N$_2$/cc-pVDZ,3560,52.53699303342785
n2_ccpvdz,N$_2$/cc-pVDZ,3570,50.39727441588582
n2_ccpvdz,N$_2$/cc-pVDZ,3580,49.74999181678186
n2_ccpvdz,N$_2$/cc-pVDZ,3590,50.1534352706301
n2_ccpvdz,N$_2$/cc-pVDZ,3600,50.721554298718274
n2_ccpvdz,N$_2$/cc-pVDZ,3610,50.153761394980734
n2_ccpvdz,N$_2$/cc-pVDZ,3620,50.79864793489719
n2_ccpvdz,N$_2$/cc-pVDZ,3630,50.21633112325219
n2_ccpvdz,N$_2$/cc-pVDZ,3640,50.30394160110063
n2_ccpvdz,N$_2$/cc-pVDZ,3650,49.75953589850235
n2_ccpvdz,N$_2$/cc-pVDZ,3660,49.54094961540534
n2_ccpvdz,N$_2$/cc-pVDZ,3670,51.35987651431151
n2_ccpvdz,N$_2$/cc-pVDZ,3680,49.693234260487884
n2_ccpvdz,N$_2$/cc-pVDZ,3690,49.9867120828128
n2_ccpvdz,N$_2$/cc-pVDZ,3700,49.96287722549653
n2_ccpvdz,N$_2$/cc-pVDZ,3710,50.3770383388229
n2_ccpvdz,N$_2$/cc-pVDZ,3720,50.05345520891069
n2_ccpvdz,N$_2$/cc-pVDZ,3730,50.24692130908193
n2_ccpvdz,N$_2$/cc-pVDZ,3740,51.37923287298918
n2_ccpvdz,N$_2$/cc-pVDZ,3750,50.47367707845751
n2_ccpvdz,N$_2$/cc-pVDZ,3760,49.51671972257543
n2_ccpvdz,N$_2$/cc-pVDZ,3770,49.667649834262306
n2_ccpvdz,N$_2$/cc-pVDZ,3780,49.30558604246471
n2_ccpvdz,N$_2$/cc-pVDZ,3790,50.76040839576024
n2_ccpvdz,N$_2$/cc-pVDZ,3800,50.24368885396768
n2_ccpvdz,N$_2$/cc-pVDZ,3810,49.595950229090136
n2_ccpvdz,N$_2$/cc-pVDZ,3820,52.206600685110516
n2_ccpvdz,N$_2$/cc-pVDZ,3830,51.150097015408846
n2_ccpvdz,N$_2$/cc-pVDZ,3840,50.39714853509736
n2_ccpvdz,N$_2$/cc-pVDZ,3850,49.252512468541454
n2_ccpvdz,N$_2$/cc-pVDZ,3860,49.13822931460743
n2_ccpvdz,N$_2$/cc-pVDZ,3870,51.27084389209813
n2_ccpvdz,N$_2$/cc-pVDZ,3880,49.697004761668495
n2_ccpvdz,N$_2$/cc-pVDZ,3890,49.11298378006279
