estimator,budget,ranks,timed_repeats,support_size,external_edges,external_unique,total_sec,total_sec_std,external_sec,external_sec_std,internal_sec,edge_generation_sec,support_lookup_sec,retained_projection_sec,external_staging_sec,report_assembly_sec,postprocess_sec,external_E2,external_E2_standard_error,delta_vs_exact_mha,delta_vs_exact_standard_errors,reduce_sec,reduce_local_transform_sec,reduce_route_prepare_sec,reduce_communication_sec,reduce_finalize_sec,countsketch_update_sec,countsketch_allreduce_sec,communication_bytes_per_rank,peak_device_allocated_bytes,peak_device_reserved_bytes,peak_host_rss_bytes,exchange_layout,edges_per_sec,speedup,parallel_efficiency
exact,30000,12,3,29715,107831972,45800099,0.7474663257598877,0.013327606968316906,0.6920890808105469,0.016339450131137117,0.006363391876220703,0.31565022468566895,0.04736471176147461,0.02684807777404785,0.1452012062072754,1.33514404296875e-05,0.05328798294067383,-0.02373256579928759,0.0,0.0,0.0,0.15689611434936523,0.05137991905212402,0.01106572151184082,0.03782033920288086,0.05682206153869629,nan,nan,302503346,1140577792,1977614336,2861985792,hierarchical_node,144263317.6690282,9.466031556878072,0.7888359630731726
exact,30000,16,3,29715,107831972,45800099,0.5984885692596436,0.0034468517690734177,0.5459415912628174,0.002935625328857179,0.005850076675415039,0.23499107360839844,0.03915238380432129,0.023517131805419922,0.11753368377685547,1.2636184692382812e-05,0.05006265640258789,-0.02373256579928728,0.0,0.0,0.0,0.12685513496398926,0.04116702079772949,0.008360147476196289,0.030584335327148438,0.04547119140625,nan,nan,230929260,883811328,1545601024,2914729984,hierarchical_node,180173820.41797864,11.822347477913492,0.7388967173695933
countsketch,100000,1,3,100200,360433513,-1,21.733221530914307,0.4515178598507428,21.721412897109985,0.45394031054656536,0.016644716262817383,10.80743670463562,2.070174217224121,0.8954713344573975,5.229532241821289,2.2172927856445312e-05,1.4066696166992188e-05,-0.021351700367756382,2.963255560697865e-05,0.0172103471816204,0.5807918631752185,2.6107218265533447,2.602612018585205,0.0,1.1920928955078125e-05,0.009069442749023438,0.9118735790252686,1.1920928955078125e-05,16777216,857181184,1168113664,41074458624,fixed_allreduce,16584449.410194583,1.0,1.0
countsketch,100000,2,3,100200,360433513,-1,10.638668298721313,0.08395968419130916,10.63142204284668,0.0839658084044771,0.008562088012695312,5.315008878707886,0.9231431484222412,0.45471763610839844,2.5229718685150146,1.430511474609375e-05,1.3589859008789062e-05,-0.021351700367756594,2.963255560697415e-05,0.017210347181575297,0.5807918631737847,1.362912654876709,1.2417099475860596,0.0,0.09055542945861816,0.007914304733276367,0.45797109603881836,0.09055542945861816,16777216,857181184,1170210816,21701816320,fixed_allreduce,33879570.532650344,2.042851691647015,1.0214258458235075
countsketch,100000,4,3,100200,360433513,-1,5.510105848312378,0.01807740816955957,5.503484725952148,0.01797647802666266,0.0068187713623046875,2.7065579891204834,0.4686250686645508,0.27844762802124023,1.3240156173706055,1.52587890625e-05,1.049041748046875e-05,-0.021351700367756556,2.9632555606956957e-05,0.01721034718150244,0.580791863171663,0.674128532409668,0.6443171501159668,0.0,0.023934602737426758,0.005031585693359375,0.23069143295288086,0.023934602737426758,16777216,857181184,1172307968,12091133952,fixed_allreduce,65413174.07003946,3.9442475569812703,0.9860618892453176
countsketch,100000,8,3,100200,360433513,-1,3.1297457218170166,0.09753386996931405,3.103271007537842,0.012696835983665092,0.007931232452392578,1.532050609588623,0.26230812072753906,0.15123295783996582,0.7681241035461426,8.344650268554688e-06,1.049041748046875e-05,-0.021351700367756438,2.9632555606998774e-05,0.01721034718156142,0.5807918631728338,0.3786749839782715,0.33138489723205566,0.0,0.04217934608459473,0.0031175613403320312,0.1142117977142334,0.04217934608459473,16777216,857181184,1168113664,7222951936,fixed_allreduce,115163832.79557465,6.944085386686554,0.8680106733358193
countsketch,100000,12,3,100200,360433513,-1,1.9666335582733154,0.06781501076905207,1.962270975112915,0.06761108605253917,0.005736112594604492,0.933988094329834,0.16888642311096191,0.1507706642150879,0.46706581115722656,8.58306884765625e-06,8.58306884765625e-06,-0.021351700367756535,2.9632555606957245e-05,0.017210347181523256,0.5807918631723598,0.2505984306335449,0.2139451503753662,0.0,0.03505969047546387,0.0027616024017333984,0.07673931121826172,0.03505969047546387,16777216,857181184,1168113664,5653803008,fixed_allreduce,183274363.1795122,11.050976649659054,0.9209147208049212
countsketch,100000,16,3,100200,360433513,-1,1.6310153007507324,0.03090169466488261,1.6283156871795654,0.03107399472243153,0.003957986831665039,0.8022065162658691,0.1399538516998291,0.10747838020324707,0.38384151458740234,8.58306884765625e-06,1.0728836059570312e-05,-0.02135170036775643,2.963255560698897e-05,0.01721034718156836,0.5807918631732601,0.18738317489624023,0.1713886260986328,0.0,0.01251673698425293,0.0025005340576171875,0.05804085731506348,0.01251673698425293,16777216,857181184,1176502272,4059586560,fixed_allreduce,220987205.22983307,13.324964836878491,0.8328103023049057
exact,100000,1,3,100200,360433513,135154646,23.58676505088806,0.10578958564920043,22.734682321548462,0.04348953085459617,0.01395273208618164,10.650312662124634,2.1524553298950195,0.8903844356536865,5.260950088500977,3.457069396972656e-05,0.7673044204711914,-0.021368910714938003,0.0,0.0,0.0,3.741365909576416,1.9844086170196533,0.0,0.0,1.7569572925567627,nan,nan,4324948672,28465005056,33774632960,48544845824,single_rank,15281176.21142071,1.0,1.0
exact,100000,2,3,100200,360433513,135154646,11.76777982711792,0.02091649401406926,11.379087924957275,0.020344900328720883,0.030425548553466797,5.306487560272217,0.9451415538787842,0.45355868339538574,2.565342903137207,3.0279159545898438e-05,0.38100767135620117,-0.02136891071493817,0.0,0.0,0.0,2.1164896488189697,0.9351625442504883,0.15231919288635254,0.15661048889160156,0.8724679946899414,nan,nan,4593509264,15705841664,26042433536,25575272448,hierarchical_node,30628845.737698916,2.0043513217790005,1.0021756608895003
